
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1650          0          0          0        748   AmrDspDecoder.obj
      1790         18          0          0        829   AmrParser.obj
      3460          0          0       3084       3761   AudComUtil.obj
       894         64          0          0        666   AudioDrain.obj
         0          0          0          0          0   M4aParser.obj
      1448         32         12          0        974   MedAdapt.obj
      1670          0          0          0        912   MelodyParser.obj
       734          0          0          0        503   MelodySynthesizer.obj
         0          0          0          0          0   PcmMixer.obj
       248          0          0          0        291   PcmRouteSrc.obj
      3752          0          0         68       1407   PcmSink.obj
       576          0          0          0        391   SeekEngine.obj
         0      11456          0          0          0   Wavetable_SW.obj
         0          0          0          0          0   aac_sbr.obj
         0          0          0          0          0   aac_seek.obj
      6644        132          0          0       3019   afe_6261.obj
      3360         80          0        312       2001   afe_common.obj
     11490       1738          0        652       8935   am.obj
      1526          0          0        140       1104   amr.obj
       612         32          0          0        336   amr_comp_drv.obj
         0          0          0          0          0   amr_seek.obj
         0       1336          0          0          0   amr_table.obj
      5706          0          0      21116       3415   apm_comp.obj
       714          0          0          0        480   ast.obj
         0          0          0          0          0   audioCF.obj
       144          0          0          1        333   audioPP.obj
        48         20          0          0        170   audio_create.obj
       122          0          0          0        342   audio_idma.obj
      3060          0          0        332       3282   audio_service.obj
         0          0          0          0          0   audioeq.obj
       350          0          0         24        723   audlp2_drv.obj
         0          0          0          0          0   daf_seek.obj
        62          0          0          0        170   dpmgr.obj
      2060          0         24        100        629   dtmf_drv.obj
      1944          0          0        104       1485   i2s_drv.obj
      1466          0          0          0       1201   jamr.obj
       504          0          0          0        952   jimy_comp.obj
      1010          0          0          0       2120   jsmf_comp.obj
         0          0          0          0          0   jtone_comp.obj
         0          0          0          0          0   jwav_comp.obj
       372          0          0         20        250   kt_Detect.obj
       306         25          5          2       1102   l1audio_sph_srv.obj
      2140          0          5          0       1676   l1audio_trace.obj
      9632         75          0        116      11378   media.obj
      1552          0          0         64       1924   media_avsync.obj
      4272         32         12         20       2728   melody_common.obj
      1672          0          0         52       1817   pcm4way.obj
      2032          0          0         56       1257   pcmRouteService.obj
      3294        372          9       1608       4700   sp_drv.obj
       768         24          0          4        460   sp_enhance.obj
         2          0          0          0         52   spe_custom_drv.obj
         2          0          0          0         52   tone_debug.obj
      1620          0          0         60        904   tone_drv.obj
       404          0          0         24        240   tone_loopback_rec.obj
       818        118          0          0        602   tonedect.obj
        90          0          0          0        128   tonesyn.obj
      2256          0          0        100        791   vm.obj
         8          0          0          0        104   vm_drv.obj
         0          0          0        188          0   wav.obj
       812        770          0          0        501   wav_codec.obj
     89096      16324         67      28247      71845   TOTAL

