
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   AR1000.obj
        20        340          0          0        260   CharsetTable.obj
      4508        395         73        336       3348   Conversions.obj
         4          0          0          0         52   Customer_sim_voltage_support.obj
         0          0          0          0          0   MT5192FM.obj
         0          0          0          0          0   MT5193FM.obj
         0          0          0          0          0   MT6188.obj
         0          0          0          0          0   MT6189.obj
        24          0          0          0        312   MT6302_custom.obj
        40          0          0          0        312   MT6306_custom.obj
         0          0          0          0          0   MT6616.obj
         0          0          0          0          0   MT6626.obj
         0          0          0          0          0   NS953_SerialComm.obj
      2254          0          0         23       1397   Rj_DW02.obj
         0          0          0          0          0   TEA5761UK.obj
         0          0          0          0          0   TEA5767HN.obj
         0          0          0          0          0   adc_channel.obj
         0        128         32          0          0   adc_nvram_def.obj
         0         11          0          0          0   adc_var.obj
        24          0          0          0        111   afe.obj
         0        576          0          0          0   alerter_tone.obj
         2          0          0          0         52   alerterdrv.obj
         0         64         12          0          0   apm_TaskDef.obj
         0          0          0          0          0   ast_hif_hw.obj
       260          0          0          0        465   ata_at_command_customer_hdlr.obj
         0          0          0          0          0   aud_I2S_config.obj
         0       2253          0          0          0   aud_common.obj
        84       1118          0          0        175   audcoeff.obj
         0       3614        128          0          0   audio_nvram_def.obj
        22         16          0          0        416   aux_custom.obj
        52          0          0          0        156   battery_measure.obj
         0          0          0          0          0   bird_bluetooth_drv.obj
      2042          0          0      29821       1117   bird_can_data.obj
      3920          0          0          2       3135   bird_drv_message.obj
         0          0          0          0          0   bird_ecu_drv.obj
      5484          0          0          4       6354   bma220.obj
     10704          8          0          4       9896   bma222.obj
       136          0          0          0         65   brt_drv_init.obj
       360          0         51          6       1166   bt_common_config.obj
         0          0          0          0          0   camera_nvram_def.obj
      2592       1461          0       1604        632   can.obj
        22          0          0          0        260   certman_cert_config.obj
         4       1753          4          0         52   certman_gadget_certs.obj
        34          0          0          0        208   chr_parameter.obj
         0          0        161          6          0   color_custom.obj
       400         28          4          0        337   combo_flash_init.obj
      1324        152          0       3724       1082   combo_flash_nor.obj
         0          0          0          0          0   common_mmi_cache_config.obj
         0          0          9          1          0   cust_ocsp.obj
         0          0          0          0          0   custom_EMI_MT6250.obj
         0          0          0          0          0   custom_EMI_MT6255.obj
         0          0          0          0          0   custom_EMI_MT6256.obj
         0          0          0          0          0   custom_EMI_MT6260.obj
       762         88         56         16        675   custom_EMI_MT6261.obj
         0          0          0          0          0   custom_EMI_SP.obj
       128         32          4         24        267   custom_SFI.obj
         0          0          0          0          0   custom_SNAND.obj
         0          0          0          0          0   custom_abm_config.obj
       160          0          0          0        375   custom_atcmd_parse.obj
       100         13          0          0        485   custom_blconfig.obj
         0          0          0          0          0   custom_cloud_config.obj
        84          0          0     200104        163   custom_config.obj
        48      12341          0          4         52   custom_config_account.obj
        74        132         76       1512        325   custom_data_account.obj
         0          0          0          0          0   custom_dcd.obj
         6          0          0          0         52   custom_demp.obj
       170          0          0          0        376   custom_drv_init.obj
      1280        178          0         72        559   custom_ecc.obj
         0          0          0          0          0   custom_ehplmn_config.obj
      1320          0          0        156       1372   custom_em.obj
         0          0          0          0          0   custom_em_dummyDrv.obj
       130          8          0       3856        475   custom_ems_context.obj
       400          0          0          0        186   custom_equipment.obj
       220        652          0          0        276   custom_events_notify.obj
        16          0          0          0         61   custom_fdn.obj
        90         19          2         13        638   custom_flash.obj
         0          0          0          0          0   custom_flash_norfdm5.obj
       172          0          0      63228        312   custom_flc_config.obj
         8        626          0          0        104   custom_fm.obj
         0          0          0          0          0   custom_fota.obj
         0          0          0          0          0   custom_gadget_config.obj
         4          0          0          0         52   custom_gas_config.obj
         0          0          0          0          0   custom_gprs_pdp_config.obj
       352          0          0          0        163   custom_gprs_pdp_value_check.obj
       168         35        120        152         65   custom_hw_default.obj
        44        380          0          0        156   custom_img_config.obj
         0          0          0          0          0   custom_imps_config.obj
         0          0          0          0          0   custom_imps_cust.obj
         0        540          0          0          0   custom_jump_tbl.obj
        20          0          0          0         59   custom_kuro_config.obj
       520         77         30          0       1913   custom_l4_utility.obj
       148        468        104          0        333   custom_led_patterns.obj
         0          0          0          0          0   custom_mbbms.obj
        36         84         24          0        468   custom_mm_config.obj
         0          0          0          0          0   custom_mmi_cache_config.obj
         0          0          0          0          0   custom_ntp_config.obj
         0          0         20          0          0   custom_nvram_cat.obj
        28         16         34          8        312   custom_nvram_config.obj
       664         36         22         74       1092   custom_nvram_extra.obj
        10          0          0          0        104   custom_nvram_int_config.obj
        76        160          0          0         52   custom_nvram_restore.obj
       106          0          0          4        489   custom_nvram_sec.obj
         0        198          4          0          0   custom_nvram_secro.obj
         0          0          0          0          0   custom_nvram_secro_tbl.obj
         0          0          0          0          0   custom_poc_config.obj
       394          0          8        236        503   custom_rec_config.obj
         4         76          0          0         52   custom_recovery_timer.obj
         4          0          0          0         52   custom_rrce_config.obj
      1126          0          0        168       2599   custom_scatstruct.obj
         0          0          0          0          0   custom_scatstruct_fota.obj
         4          0          0          0         52   custom_sds_dp.obj
       412         32          0          0        484   custom_sim_driver.obj
        28          0          0          0        312   custom_sms_config.obj
         0          0          0          0          0   custom_sns_config.obj
         0          0          0          0          0   custom_sso_config.obj
        96          0          0          0       1768   custom_tcpip_wifi.obj
         0          0          0          0          0   custom_uc_config.obj
        48         35         28          0        274   custom_uem.obj
         0          0          0          0          0   custom_ups_config.obj
        12          0          0          0         52   custom_ussd.obj
        84          6          0          2        222   custom_util.obj
       518          0          0          0        305   custom_video.obj
        24          0          0          0        104   custom_videocall.obj
         0          0          0          0          0   custom_voip_config.obj
        28          0          1          0         52   custom_vrender.obj
        40          0          0          0        274   custom_wap_config.obj
         0          0          0          0          0   custom_wap_cust_pack.obj
         0          0          0          0          0   custom_wlan_ui_config.obj
      2704        200         24         45        800   customer_at_command.obj
         0          0          0          0          0   customer_band_block_default_setting.obj
        12          0          0          0        156   customer_cm_retry_count.obj
         0          0          0          0          0   customer_cmux_setting.obj
         0          0          0          0          0   customer_email_num.obj
         2          0          0          0         52   customer_l4c_msghdlr.obj
       180        787        396          0        197   customer_operator_name.obj
        34          0          0          0        312   customer_pwr_level_report.obj
         0          0          0          0          0   customer_sms_discard_patent.obj
        20          0          0       1600        104   customer_sms_msg_box_num.obj
         4          0          0          0         52   customer_sms_prefer_order.obj
         8          0          0          0        104   customer_sms_tl_retry.obj
        18          0          0          0        208   customer_supc_config.obj
         0         17          0          0          0   custpack_certs.obj
         0       5428          0          4          0   custpack_java_certs.obj
         0          0          0          0          0   dm_common_customize.obj
        72          0         47          0        111   eint_def.obj
        64          0          0          0        104   eint_measure.obj
         0         44          0          0          0   eint_var.obj
         0          0          0          0          0   exif_custom.obj
         2          0          0          4         52   ext_drv_assert_hdlr_if.obj
         0          0          0          0          0   fmr_config_customize.obj
         0          0          0          0          0   fmr_sw_features.obj
         0         48        272      46900          0   fs_config.obj
        16         70        124          0         59   fs_quota.obj
        68          0          0         48        683   ft_bt_customize.obj
         0          0          0          0          0   ft_cct_customize.obj
         4          0          0          0         52   ft_customize.obj
         8          0          0          1         59   gpio_drv.obj
        68          0          0          0        104   gpio_measure.obj
       512        180         16          0        908   gpio_setting.obj
         0       1353          0          0          0   gpio_var.obj
         0          0          0          0          0   gpio_var_v2.obj
         0          0          0          0          0   gps_common_config.obj
         0          0          0          0          0   hal_custom_video_if.obj
      2196        158          0       1471        654   hd8020_gps_drv.obj
       148          1          0          0        181   i2s_input_drv.obj
         0          0          0          0          0   irda_custom.obj
        24          4         65          0        156   keypad_def.obj
      3594          0         86         14       1684   lcd.obj
        48          0         16          0        104   lcd_measure.obj
         0          0          0          0          0   lmmi_ind.obj
         0          0          0          0          0   lmmi_rsp.obj
         0         68        268       2720          0   m12193.obj
         0         32          0          0          0   maui_MBA_info.obj
      4164          0         55          4        986   mcp2515.obj
       430         32         36       4096       3470   meta_customize.obj
         0          0          0          0          0   mmi_gps_nvram_def.obj
        12          0          0        856        156   mmi_msg_context.obj
      4078          0         73         96       1515   motion_sensor_custom.obj
      2424          0         72         32        897   motion_sensor_custom_bma220.obj
       196          8          0          0        218   msdc_custom.obj
        16          0          4          8         59   nld_central_ctrl.obj
      2852         73          0        256       1012   nmeap.obj
         0        260       1160        384          0   nvram_common_config.obj
         0          0          0          0          0   nvram_common_custpack.obj
         0       2213          0          0          0   nvram_cust_pack.obj
         0          0          0          0          0   nvram_custpack_table.obj
         0          0          0          0          0   nvram_custpack_table_lid.obj
         0        709        960          0          0   nvram_data_items.obj
         0        805          0          0          0   nvram_default_audio.obj
         0          0          0          0          0   nvram_default_value.obj
         0       1760          0          0          0   nvram_user_config.obj
         0          0          0          0          0   nvram_user_custpack.obj
         0          0          0          0          0   pmic_custom.obj
         2          0          0          0         52   pmic_drv.obj
       372          0          0          0        200   pmu_custom.obj
       118          0          0          0        178   pwic_cust.obj
       164          0          0          0        289   pwm_measure.obj
        34          0          0          0         59   pwmdrv.obj
         0          0          0          0          0   pxs_custom.obj
         0        530        232          0          0   resource_audio.obj
         0          0         36          0          0   resource_custpack_jtbl.obj
         0          0        108          0          0   resource_custpack_preamble.obj
         0          0        108          0          0   resource_lang_pack_preamble.obj
         0          0          0          0          0   rmmi_ats.obj
         0          0          0          0          0   rmmi_msgbased_at.obj
         0          0          0          0          0   rmmi_validator_custom_op01.obj
         0          0          0          0          0   rmmi_validator_custom_tc01.obj
         4          0          0          0         52   rtc_custom.obj
        34          0          0          0        163   supc_common_config.obj
         0          0          0          0          0   syncml_common_customize.obj
         0          0          0          0          0   touch_panel_custom.obj
         0          0          0          0          0   touch_panel_spi.obj
         0        338         32          0          0   touchpanel_nvram_def.obj
        46          0          0          0         65   tst_custom_config_misc.obj
         0          0          0          0          0   tst_export_config.obj
         2          0          0          0         52   tst_file_default_Catcher_filter.obj
         8          0          0          0        156   tst_file_log_write.obj
       102          0          0          0        624   tst_file_trans_export.obj
         4          0          0         13         52   tst_file_transferrer.obj
      1216          0          2         92        516   uart2_drv.obj
        28         68          0      12291        156   uart_def.obj
         0        259         96          1          0   uem_drv.obj
       372          0          0          4        911   uem_gpio.obj
         0          0          0          0          0   ul1_nvram_def.obj
       118        194         36       8704        430   usb_custom.obj
         0        360         64          0          0   userprofile_nvram_def.obj
       134         20          0         33       2496   wifi_common_config.obj
     71218      44168       5395     384837      72136   TOTAL

