
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1484         25          0          1       1740   ddload.obj
         0        256          0          0          0   dll_6261_Audio_DM_REMAP.obj
         0       5085          0          0          0   dll_6261_Audio_Header.obj
         0        219          0          0          0   dll_6261_Header_Kernal.obj
         0        412          0          0          0   dll_6261_I2S.obj
         0      14387          0          0          0   dll_6261_TCH.obj
         0      17605          0          0          0   dll_6261_TCH_1.obj
         0      18073          0          0          0   dll_6261_TCH_2.obj
         0       7799          0          0          0   dll_6261_TCH_3.obj
         0       2803          0          0          0   dll_PM_6261_AECS.obj
         0       2383          0          0          0   dll_PM_6261_AECS_1.obj
         0       2280          0          0          0   dll_PM_6261_AECS_2.obj
         0       1565          0          0          0   dll_PM_6261_AECS_3.obj
         0         99          0          0          0   dll_PM_6261_VSG.obj
        18          0          0          0        112   dsp_init.obj
       160        709          0          0        256   dsp_ptch_6261.obj
       612          0         11         38        528   idma.obj
      2274      73700         11         39       2636   TOTAL

