
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1208          0          0          0        199   format.obj
      2578          8          0          9       2974   fs_func.obj
      8162         22          4         28       4107   fs_func_adv.obj
       896          0          0          0        946   fs_func_async.obj
     14284          6          1          1       3409   fs_internal.obj
       840          0          0          0       1057   fs_internal_api.obj
       876          0          8        324        855   fs_kal.obj
        68          0          0          0        168   fs_sst.obj
       294         20          2          0        497   fs_task.obj
       260          0         32          0        417   fs_usbms.obj
      1072         80          0          8       1517   fs_utility.obj
      1608          0         60         28       2280   fsal.obj
      1188          0          0          0        610   fsal_buffer.obj
       492          0          0          1        572   fsal_read.obj
       278          0          0          0        308   fsal_write.obj
      3118          0          0          0        833   rtfbs.obj
      2170          0          0       1221       1599   rtfbuf.obj
      9018        170          4         16       3561   rtfcore.obj
       950          0          8          0        845   rtfex.obj
     32268         74         12        185      10752   rtfiles.obj
     81628        380        131       1821      37506   TOTAL

