
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1262          0          0        724        918   ft_fnc.obj
      7008         32         56        317       3311   ft_fnc_audio.obj
       212          0          0          0        126   ft_fnc_custom.obj
      3350          0          0        128       1803   ft_fnc_fat.obj
      1360          0          0          4        345   ft_fnc_fm.obj
        84          0          0          0        226   ft_fnc_gps.obj
      5808          0          1         12       1651   ft_fnc_l1rf.obj
      2626          0          2         22       1031   ft_fnc_misc.obj
       342          0          0          6        265   ft_fnc_misc_ex.obj
        84          0          0          0        226   ft_fnc_nfc.obj
       444          0          0          0        262   ft_fnc_nvram.obj
      1658         16         12          4       1260   ft_fnc_util.obj
      1176         20          2        150        246   ft_main.obj
       144          0          0          4        240   ft_mem.obj
         0          0          0          0          0   ft_report.obj
     25558         68         73       1371      11910   TOTAL

