
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      8844       5324        116          8       2092   app_zlib.obj
       568          0          0       1028        260   crc32.obj
       542          0          0          0        884   iul_color_convert.obj
      2052          0          0          0        460   iul_csc_r2y.obj
      7526          0          0          8       1100   iul_csc_y2r.obj
        20          0          0          0         64   iul_csc_y2r_565.obj
         2       3072          0          0         52   iul_csc_y2r_table.obj
      3068          0          0          0        856   iul_csc_y2y.obj
      1136          0          0          0        432   iul_spatial_dithering.obj
       104          0          0          0        780   iul_x_math.obj
      6380          0          0          0       1044   lzmadec.obj
        48          0          0          0         60   m_add.obj
       368          0          0          0        124   m_div.obj
       196          0          0          0        140   m_exp.obj
         0        260          0          0          0   m_exp_table.obj
       444          0          0          0        260   m_log.obj
         0        876          0          0          0   m_log_table.obj
        84          0          0          0        120   m_mul.obj
       288          0          0          0        144   m_power.obj
      1248          0          0          0        416   m_sin.obj
         0       2052          0          0          0   m_sin_table.obj
      2856          0          0          0        348   m_sqrt.obj
        48          0          0          0         60   m_sub.obj
      7276          0          0        108        896   png_img_resizer.obj
      5808         19          0          0       1100   pngcore.obj
        44        512          0          0         72   sw_lt_calc.obj
      6436          0          0          0       2328   sw_lt_csc_func.obj
     20112          0          0          0        392   sw_lt_enhance_performance_affine_bilinear.obj
     15280          0          0          0        488   sw_lt_enhance_performance_affine_nearest.obj
     40748          0          0          0        448   sw_lt_enhance_performance_perspective_bilinear.obj
     31008          0          0          0        560   sw_lt_enhance_performance_perspective_nearest.obj
     19808          0          0          0        392   sw_lt_enhance_performance_resizer_bilinear.obj
     14704          0          0          0        488   sw_lt_enhance_performance_resizer_nearest.obj
      8684          0          0          0        384   sw_lt_reduce_space_affine_bilinear.obj
      4176          0          0          0        480   sw_lt_reduce_space_affine_nearest.obj
      9884          0          0          0        384   sw_lt_reduce_space_perspective_bilinear.obj
      5588          0          0          0        480   sw_lt_reduce_space_perspective_nearest.obj
      8684          0          0          0        400   sw_lt_reduce_space_resizer_bilinear.obj
      3760          0          0          0        480   sw_lt_reduce_space_resizer_nearest.obj
      3242        112          0          0       2388   sw_rectfill.obj
      3610          0          0          0        304   sw_rgb_resizer_bilinear.obj
      4010          0          0          0        304   sw_rgb_resizer_box.obj
      1438          0          0          0        288   sw_rgb_resizer_nearest.obj
         0          0          0          0          0   swipp_filter_blur.obj
         0          0          0          0          0   swipp_filter_dilation_erosion.obj
         0          0          0          0          0   swipp_filter_highpass.obj
         0          0          0          0          0   swipp_filter_lowpass.obj
         0          0          0          0          0   swipp_filter_median.obj
         0          0          0          0          0   swipp_filter_unsharp.obj
         0          0          0          0          0   swipp_utility.obj
         4       1312          0          0         60   swjd_const_tables.obj
      2484          0          0          0        832   swjd_dequant_idct_llm.obj
      1112          0          0          0        304   swjd_huffman_construct.obj
      1588        186          0          0       1116   swjd_huffman_control.obj
      9790          0          0          0       1564   swjd_huffman_decode.obj
      1932          0          0          0        180   swjd_sw_resize_y2r_565.obj
      1828          0          0          0        180   swjd_sw_resize_y2r_6666.obj
      1828          0          0          0        180   swjd_sw_resize_y2r_888.obj
      1936          0          0          0        180   swjd_sw_resize_y2r_8888.obj
      2060          0          0          0        352   swjd_sw_resize_y2y_420.obj
      2616          0          0          0        356   swjd_sw_resize_y2y_422.obj
         0       2860          0          0          0   swje_const_tables.obj
      1592          0          0          0        728   swje_fdct_quant_unit.obj
      2260          0          0          0        772   swje_huffman_encoder.obj
    281152      16585        116       1152      29556   TOTAL

