
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
        16          0          0          0         60   csm_main.obj
      2014          0          0          0       2132   csmcc_atfunc.obj
      8026          0          0          0       5544   csmcc_aux_msg_hdlr.obj
      6706          0          0          0       5828   csmcc_bc_func.obj
      1746          0          0          0       1044   csmcc_crss_proc.obj
      2140          0          0          0       1512   csmcc_facility_proc.obj
       468         17          0       1088        452   csmcc_init.obj
     10612          0          0          0       3784   csmcc_msg_hdlr.obj
      4034          0          0          0       3288   csmcc_utility.obj
     10144          8          0          0       3364   csmss_aux_msg_hdlr.obj
       104          0          0        492         68   csmss_init.obj
     13350          0          0          0       3388   csmss_msg_hdlr.obj
         0          0          0          0          0   csmss_reset.obj
       294         20          0          0        180   l4_create.obj
         0          0          0          0          0   l4_reset.obj
      2390        534          0          0       2940   l4c2tcm_func.obj
      4080          0          0          0       2844   l4c_cc_cmd.obj
      5350          0          0          0       2844   l4c_cc_msg.obj
      2244          0          0          0       1204   l4c_ciss_cmd.obj
      5126          0          0          0       1340   l4c_ciss_msg.obj
         0          0          0          0          0   l4c_cmd_ft.obj
       136          0          0          0         68   l4c_data_cmd.obj
         0          0          0          0          0   l4c_dt_msg.obj
      1096        142         36          0       1320   l4c_em.obj
      5354          0          1         66       6960   l4c_eq_cmd.obj
      2938          0          0          0       2204   l4c_eq_msg.obj
         0        916          0          0          0   l4c_ft.obj
      2396          0          0          0       2668   l4c_gprs_cmd.obj
      2016          0          0          0       1364   l4c_gprs_msg.obj
       526          0          2        508        200   l4c_init.obj
       820          0          0          0         64   l4c_main.obj
      1910          0          0          0       1256   l4c_msghdlr.obj
      2120          0          0          0       2564   l4c_nw_cmd.obj
      4042          0          0          0       1656   l4c_nw_msg.obj
      2316          0          0          0       2632   l4c_phb_cmd.obj
      1594          0          0          0       1248   l4c_phb_msg.obj
       678          0          0          0       1204   l4c_sat_msg.obj
      1192          0          0          0       1360   l4c_sendmsg.obj
      3058          0          0          0       3412   l4c_sim_cmd.obj
      3794          0          0          0       1380   l4c_sim_msg.obj
      6852          0          0          0       4576   l4c_sms_cmd.obj
      2120          0          0          0       2212   l4c_sms_msg.obj
      2876          0          0          0       1068   l4c_ss_parse.obj
         0       2497          0          0          0   l4c_table.obj
       924          0          0          0        684   l4c_tst.obj
      7408          0          0          0       5848   l4c_utility.obj
        44          0          0       1520         60   layer4_init.obj
         0       1443          0          0          0   mcd_table_l4.obj
       964          0          0          0       1748   rac2_funcs.obj
      3682          0          0          0       1820   rac2_hdlrs.obj
       596          0          0        140        204   rac2_main.obj
      3388          0          0          0       3432   rac2_others.obj
      2400          0          0          0        892   rmmi_analyzer.obj
      1776         81          0          0        424   rmmi_basic_val.obj
      2382          0          0          0       2488   rmmi_ind.obj
       626          0          0       1360        316   rmmi_init.obj
       136          0          0          0         60   rmmi_main.obj
      3302          0          0          0       1260   rmmi_msghdlr.obj
         0       1228          0          0          0   rmmi_parser.obj
       176          0          0          0        444   rmmi_root.obj
      3874          0          0          0       4856   rmmi_rsp.obj
      2202          0          0          0       1856   rmmi_rspfmttr.obj
       608          0          0          0       1276   rmmi_sio.obj
     13214        145          0          0       7348   rmmi_utility.obj
      1012        130          0          0        368   rmmi_validator.obj
       450          0          0          0        340   rmmi_validator_cc.obj
      1020          0          0          0        288   rmmi_validator_ciss.obj
         0          0          0          0          0   rmmi_validator_data.obj
      3700          0          0          0       1136   rmmi_validator_em.obj
      1396          0          0          0        580   rmmi_validator_eq.obj
         0        208          0          0          0   rmmi_validator_ft.obj
      1680          0          0          0        440   rmmi_validator_nw.obj
       304          0          0          0        200   rmmi_validator_phb.obj
         0          0          0          0          0   rmmi_validator_phonesuite.obj
        84          0          0          0         68   rmmi_validator_sim.obj
         0          0          0          0          0   rmmi_validator_sms.obj
         0          0          0          0          0   rmmi_validator_tcm.obj
      8216         63          0          0       3348   smsal_cb.obj
      1576          0          0          0        840   smsal_checks.obj
       698          0          0          0        448   smsal_init.obj
      2648        226          0         30       2320   smsal_l4c_funcs.obj
      4562         44          0          0       2400   smsal_l4c_msgs.obj
       236          0          0          0        112   smsal_main.obj
      5134          0          0          0       2100   smsal_modi_peer_rest.obj
      2198          0          0          0       1116   smsal_msg_proc.obj
      1902          0          0          0       1872   smsal_other_funcs.obj
      3124          0          0          0       1360   smsal_parameter.obj
        64          0          0          0         60   smsal_reset.obj
      1704          0          0          0        912   smsal_sms.obj
      5640          0          0          0       2640   smsal_storage.obj
       484         12          0          0        628   smsal_timer.obj
      4360         96          0          0       2088   smsal_transport_proc.obj
       740          8          0       1358        756   smsal_utils.obj
      9364          0          0          0       3420   smu_handler.obj
        96          0          4        100         68   smu_init.obj
       300          0          0          0         68   smu_main.obj
         8          0          0          0        104   tcm_api.obj
      6610         12          0          0       2644   tcm_cntxt_data.obj
      2590          0          0          0       1584   tcm_cntxt_data_aux.obj
         0          0          0          0          0   tcm_cntxt_data_checks.obj
         0        252          0          0          0   tcm_cntxt_data_ft.obj
      4874        112          0          0       3260   tcm_common.obj
       176          0          4       1044         68   tcm_init.obj
       786          0          0          0        196   tcm_main.obj
       322          0          0          0        336   tcm_other.obj
       304          0          0          0        320   tcm_timer.obj
    252742       8194         47       7706     154736   TOTAL

