
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       736        171          0          0        140   ape_parser.obj
      2576          0          0         20       4840   aud_api.obj
      2640          0          4          4       1805   aud_audio.obj
        10          0          0          0        208   aud_bt_a2dp.obj
      1278          0          0         48        988   aud_build_cache.obj
      3064        156          0          0        694   aud_daf_parser.obj
       314          0          0          0        816   aud_fmradio.obj
      2184       1401        664        648       1107   aud_id3_parser.obj
      4350          0          0          0       5834   aud_ilm.obj
       556          0          0         48        558   aud_input_stream.obj
        66          0          0          0        236   aud_keytone.obj
       860          0          4          0        303   aud_main.obj
      3004          0          0         28       1917   aud_media.obj
       254          0          0          1        414   aud_melody.obj
      3912          0          0        144       2443   aud_mma.obj
      1440          0          0          0        755   aud_player_media.obj
      1422          0          0          0        752   aud_player_mma.obj
         4          0          0          0         52   aud_player_mpl.obj
       100          0          0          0        170   aud_post_process.obj
       864          0          0          1        920   aud_record.obj
      2078         37          0          8       1425   aud_recorder_media.obj
       676          0          0        322       1218   aud_speech.obj
       134          0          0          0        347   aud_tone.obj
       836          0          4          4       1274   aud_utility.obj
      1486          0         80        240       1810   bytestream_hw.obj
         0          0          0          0          0   id3_v1_parser.obj
      2890        255          0          0        611   id3_v2_parser.obj
         0          0          0          0          0   img_api.obj
         0          0          0          0          0   img_ilm.obj
         0          0          0          0          0   img_main.obj
         0          0          0          0          0   img_msg_handler.obj
      3344         16          0          4       1126   lyrics_parser.obj
       128          0          0          0        299   med_api.obj
      1020          0          0         32        961   med_ext_smalloc.obj
         0          0          0          0          0   med_ilm.obj
         0          0          0          0          0   med_int_smalloc.obj
       640         35          4     109056        638   med_main.obj
      2654       1024          0        172       2141   med_utility.obj
       290         20          4         12        441   med_v_main.obj
      1954         28         24          8       1425   meta_tag_api.obj
       218         25         24          0        221   meta_tag_parser.obj
         0          0          0          0          0   vid_api.obj
         0          0          0          0          0   vid_clipper_msg_handler.obj
         0          0          0          0          0   vid_ilm.obj
         0          0          0          0          0   vid_main.obj
         0          0          0          0          0   vid_msg_handler.obj
         0          0          0          0          0   vid_msg_handler_modis.obj
         0          0          0          0          0   vid_recorder_msg_handler.obj
         0          0          0          0          0   webcam_api.obj
         0          0          0          0          0   webcam_ilm.obj
         0          0          0          0          0   webcam_main.obj
         0          0          0          0          0   webcam_msg_handler.obj
     47982       3168        812     110800      38889   TOTAL

