
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   CamcorderCui.obj
        58          0          0          0        443   CameraCui.obj
         0          0          0          0          0   ImageClipCui.obj
         0          0          0          0          0   ImageClipCuiOSD.obj
      1116          0          2          0        769   ImgViewUtil.obj
      1792          0          0       1156       1479   ImgViewer.obj
         0          0          0          0          0   ImgViewerCacheAdp.obj
         0          0          0          0          0   ImgViewerCacheDB.obj
         0          0          0          0          0   ImgViewerCacheInfc.obj
         0          0          0          0          0   ImgViewerCacheMgr.obj
         0          0          0          0          0   ImgViewerSkin.obj
      1218          0          0        740       1431   ImgviewCui.obj
      3796         96          0          0       2325   ImgviewCuiScrn.obj
         0          0          0          0          0   JavaAgencyEMPerformance.obj
         0          0          0          0          0   JavaAgencyManager.obj
         0          0          0          0          0   JavaAgencyNCenter.obj
         0          0          0          0          0   JavaAgencyNetworkProfile.obj
         0          0          0          0          0   JavaAgencySettings.obj
       748         40          0          0       1090   MediaAppFrame.obj
      1152          0          0          0       1427   MediaAppPanel.obj
         0          0          0          0          0   MediaPlayerMain.obj
         0          0          0          0          0   MediaPlayerMsgHandler.obj
         0          0          0          0          0   MediaPlayerSingleApp.obj
       686          0          0        542        597   audioplayersingleplayer.obj
       356          0          0          0        282   audioplayerutil.obj
         0          0          0          0          0   avatar.obj
         0          0          0          0          0   fmschedulerec.obj
         0          0          0          0          0   fmschedulerecmsghdlr.obj
         0          0          0          0          0   fmschedulerecscreen.obj
         0          0          0          0          0   fmschedulerecsetting.obj
       204          0          0          0        183   funandgamessrc.obj
         0          0          0          0          0   javaagencyem.obj
         0          0          0          0          0   javaagencymidsinstall.obj
         0          0          0          0          0   javaagencysrc.obj
         0          0          0          0          0   javaagencytaskswitch.obj
         0          0          0          0          0   javaagencytimealarm.obj
         0          0          0          0          0   javaagencyutil.obj
         0          0          0          0          0   javagame.obj
         0          0          0          0          0   pictureeditor.obj
         0          0          0          0          0   pictureeditorengine.obj
         0          0          0          0          0   pictureeditorhandler.obj
      4020          0          0        464       1860   sndrecdraw.obj
      2436          0          0         12       1279   sndrecmsg.obj
      7756        126          0        620       5474   sndrecui.obj
       974          0          0         20        984   sndrecutil.obj
         0          0          0          0          0   soundrecordermsghandler.obj
         0          0          0          0          0   soundrecordersrc.obj
         0          0          0          0          0   swflashdlsrc.obj
         0          0          0          0          0   swflashplayer.obj
     26312        262          2       3554      19623   TOTAL

