
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       136          0         36          0        288   AMLaunchApp.obj
      1144          0          0        524       1231   AMLaunchApp_int.obj
      1402          0          0         47       1217   AlarmIndication.obj
       442          0          0          0        425   AlarmInterface.obj
         0          0          0          0          0   Appicon.obj
         0          0          0          0          0   AzaanAlarm.obj
       290          0          0         10        357   BootupAdp.obj
       360          0          0         16        359   BootupAnimation.obj
       520         10          0          0        544   BootupDiskCheck.obj
         0          0          0          0          0   BootupFTU.obj
       616        188          0         16        812   BootupFlow.obj
       902        436          0          0       4309   BootupInitApps.obj
         0          0          0          0          0   BootupMoDIS.obj
       108          0          0          6        227   BootupMode.obj
       844          0          0          4        723   BootupScrAni.obj
       628          0          0          6        641   BootupScrUtil.obj
       150         18          0          0        248   BootupSecConfig.obj
      2464         36          0         28       1661   BootupSecurity.obj
         0          0          0          0          0   BootupSubLcd.obj
         0          0          0          0          0   CalendarEvent.obj
      1680         56          2         64       1334   CallLogAction.obj
         0          0          0          0          0   CallLogAdpCmn.obj
         0          0          0          0          0   CallLogAdpOp11.obj
         0          0          0          0          0   CallLogAdvanced.obj
       194        102          0          0        276   CallLogConfig.obj
      1740         32          0        110       1151   CallLogLayout.obj
       958          0          0         32        907   CallLogMain.obj
      1190          0          0          0       1204   CallLogMainMenu.obj
       452         10          0          0        873   CallLogMisc.obj
       572         36          0         20        264   CallLogOption.obj
      1754         20          0         28       1198   CallLogViewer.obj
        84          0          0          0        118   CallSetCore.obj
       100          0          4        152        226   CallSetStructMgmt.obj
      4484         92          0          0       2827   CallSetUi.obj
         0          0          0          0          0   CbsAppMain.obj
         0          0          0          0          0   CbsAppMsg.obj
         0          0          0          0          0   CubeApp.obj
      1328          0          0         56        770   DLShortcut.obj
       298          0          0          0        355   DialerCuiClassic.obj
      1432         16          0          0       1717   DialerCuiCommon.obj
       398         36          0         12        481   DialerCuiFactory.obj
       776          0          0          0       1234   DialerCuiMain.obj
       268          0          0          0        676   DialerCuiObject.obj
       408          0          0          0        546   DialerCuiSos.obj
       452          0          0          0        847   DialerMain.obj
         0          0          0          0          0   EngineerMode3GInfo.obj
         0          0          0          0          0   EngineerModeAGPSlogCore.obj
         0          0          0          0          0   EngineerModeAGPSlogService.obj
         0          0          0          0          0   EngineerModeAGPSlogStringDef.obj
         0          0          0          0          0   EngineerModeAGPSlogUI.obj
      4138        224          0          4       2770   EngineerModeAudio.obj
         2          0          0          0         52   EngineerModeBT.obj
         0          0          0          0          0   EngineerModeBTRFtest.obj
         0          0          0          0          0   EngineerModeBacklight.obj
         0          0          0          0          0   EngineerModeCnmgr.obj
       764         92          0         20        828   EngineerModeCommMem.obj
      1310          0          0         16       1159   EngineerModeCommUI.obj
         0          0          0          0          0   EngineerModeConfTest.obj
         0          0          0          0          0   EngineerModeDM.obj
         0          0          0          0          0   EngineerModeDebugInfo.obj
      7710        710         46         58       4354   EngineerModeDevice.obj
         4          0          0          0        104   EngineerModeFRMProfiling.obj
         0          0          0          0          0   EngineerModeFSTestCore.obj
         0          0          0          0          0   EngineerModeFSTestUI.obj
         0          0          0          0          0   EngineerModeGDIProfBlt.obj
         0          0          0          0          0   EngineerModeGDIProfDecoder.obj
         0          0          0          0          0   EngineerModeGDIProfFlatten.obj
         0          0          0          0          0   EngineerModeGDIProfImage.obj
         0          0          0          0          0   EngineerModeGDIProfLT.obj
         0          0          0          0          0   EngineerModeGDIProfMisc.obj
         0          0          0          0          0   EngineerModeGDIProfPlatform.obj
         0          0          0          0          0   EngineerModeGDIProfiling.obj
       130          0          0          0        227   EngineerModeGPRS.obj
         0          0          0          0          0   EngineerModeGPS.obj
      1348        136          0          4        746   EngineerModeInetApp.obj
         0          0          0          0          0   EngineerModeIperf.obj
         0          0          0          0          0   EngineerModeLCD.obj
       354        142          0         16        360   EngineerModeMMColor.obj
         0          0          0          0          0   EngineerModeMMIFramework.obj
       620          8          0          1       1042   EngineerModeMain.obj
         0          0          0          0          0   EngineerModeMiniGPS.obj
       268          0          0         13        177   EngineerModeMisc.obj
         0          0          0          0          0   EngineerModeMotion.obj
        18          0          1          1        163   EngineerModeMultimedia.obj
         0          0          0          0          0   EngineerModeNWEvent.obj
      6994       1172         72         12       3061   EngineerModeNWInfo.obj
         0          0          0          0          0   EngineerModeNfc.obj
       746         44          0         12        870   EngineerModePCSNetwork.obj
         0          0          0          0          0   EngineerModePMIC.obj
         0          0          0          0          0   EngineerModePXS.obj
         0          0          0          0          0   EngineerModeProfiling.obj
      3064        604          0        192       2175   EngineerModeRFtest.obj
         0          0          0          0          0   EngineerModeRecorderSetting.obj
         0          0          0          0          0   EngineerModeSSPSettings.obj
         0          0          0          0          0   EngineerModeSocketApp.obj
         0          0          0          0          0   EngineerModeSocketDemoApp.obj
         0          0          0          0          0   EngineerModeStorage.obj
         0          0          0          0          0   EngineerModeTouchPanel.obj
       974          0          0         29       1866   EngineerModeUtil.obj
         0          0          0          0          0   EngineerModeVOIP.obj
         0          0          0          0          0   EngineerModeWLAN.obj
       204          0          0          0        359   Factory.obj
       458          0          0         44        485   FactoryAlarm.obj
      1744        200          0          2       1537   FactoryModeAudio.obj
      2038          0        168          0       1549   FactoryModeDevice.obj
         0          0          0          0          0   FactoryModeDualTouchCalibration.obj
      1246          0          0          4        756   FactoryModeKeypad.obj
      1212         64          0          8        884   FactoryModeMain.obj
         0          0          0          2          0   FactoryModeMedia.obj
      1854         16          0          2       1312   FactoryModeMisc.obj
         0          0          0          0          0   FactoryModeNFC.obj
         0          0          0          0          0   FactoryModeNxMPoint.obj
         0          0          0          0          0   FactoryModeParallelLine.obj
      5684        412          1          1       3223   FactoryModeQuickTest.obj
      1622          0          0        762       1275   FactoryModeQuickTstSet.obj
         0          0          0          0          0   FactoryModeTC01.obj
         0          0          0          0          0   FactoryModeTouchPanel.obj
        38          0          0          0        118   FactoryModeUtil.obj
         0          0          0          0          0   HijriCalendar.obj
         0          0          0          0          0   HomeScreenOp11Setting.obj
         0          0          0          0          0   IdleAdapter.obj
       168          0          0          0        177   IdleClassic.obj
       504          0          0         12        422   IdleCommon.obj
        52         56          0          0         59   IdleEventCfg.obj
        34         32          0        163        163   IdleFactory.obj
      1152          0          0          4        890   IdleMain.obj
       588          0          0          0        829   IdleObject.obj
         6          0          0          0        104   IdleSubLcd.obj
         0          0          0          0          0   IndianCalendar.obj
         0          0          0          0          0   MMIThemes.obj
       984          0          0         56        842   MSpace.obj
       988          0          0          0        442   MSpaceAppScreen.obj
      2632          0          4          0       2444   MSpaceAs.obj
      1072          0          0          0        555   MSpaceMainScreen.obj
         0          0          0          0          0   MotionSensorSrc.obj
       848          0          4         24       1203   MsgViewerCui.obj
        48          0          0          0        118   MsgViewerCuiAdp.obj
      2602        250          0       1548       1653   NSSApp.obj
       870          8          0        228        771   NetSetApp.obj
      2676          0          0         72       1409   NetSetAppNWSelect.obj
       980          0          0          5       1187   NetSetAppOthers.obj
         0          0          0          0          0   NetSetAppPrefList.obj
         8          0          0          0         59   NetSetAppPrefMode.obj
       586          0          0          4        547   NetSetServiceSelection.obj
         0          0          0          0          0   NetSetSimName.obj
         0          0          0          0          0   NoteApp.obj
         8          0          0          0        104   NwInfoApp.obj
       284         36          0          4        128   NwInfoIcon.obj
       368          0          0          0        424   NwInfoSignal.obj
      3402          0          0          8       3544   PhbCui.obj
        22         16          0          0         59   PhnsetDispMenuService.obj
       486          0          0          0        366   PhnsetDisplay.obj
       152          0          0          0        242   PhnsetDlCalData.obj
         0          0          0          0          0   PhnsetLauncherSetting.obj
         0          0          0          0          0   PhnsetMainEffectSetting.obj
         4         16          0          0         52   PhnsetMenuService.obj
         0          0          0          0          0   PhnsetShortcutSetting.obj
         0          0          0          0          0   PhnsetWidgetMgr.obj
         0          0          0          0          0   PhoneBookGroup.obj
      4044        342          0          8       2183   ProfilesApp.obj
      1262          2          0          0       1418   PwdCuiBasic.obj
      1384          0          0          0       1504   PwdCuiGuardSlim.obj
         6          0          0          0        104   PwrResetAlarm.obj
       330          0          0          0        460   ReminderApp.obj
       250         76          0          0       1062   ReminderBootupInitApps.obj
         0          0          0          0          0   RestoreServiceHdlr.obj
       352          0          0         36        469   SSCOperate.obj
       788        129        200         82        286   SSCPassEngine.obj
        30          0          0          0        118   SSCStringHandle.obj
         0          0          0          0          0   SSOAPPSrc.obj
      5630          0        208         16       4654   SatApp.obj
       512          0          0          0        475   ScrLockerClassic.obj
        32         32          0          0        170   ScrLockerFactory.obj
      1180          0          0         12       1174   ScrLockerMain.obj
       570          0          0          0        835   ScrLockerObject.obj
         0          0          0          0          0   ScrLockerPopup.obj
       604         60          0          2        600   ScrLockerSetting.obj
       326          9          0          0        322   ScrLockerSos.obj
         0          0          0          0          0   ScrSaverAdapter.obj
         0          0          0          0          0   ScrSaverFactory.obj
         0          0          0          0          0   ScrSaverMain.obj
         0          0          0          0          0   ScrSaverMedia.obj
         0          0          0          0          0   ScrSaverObject.obj
      2344         84          0          8       1815   SecSetCuiVerify.obj
      1596          0         16          0        911   SecSetHPVeri.obj
       296         12          0          2        193   SecSetMenu.obj
       732          0          6          0        370   SecSetPhone.obj
      1358          0          0          0        830   SecSetSSC.obj
       216         48          0          0        205   SecSetSimCommon.obj
      1928          2         12          0        849   SecSetSimMenu.obj
       940          0          0          0        397   SecSetUbchv.obj
       312          0          0          0        422   SecSetUtil.obj
         0          0          0          0          0   ShellApp.obj
       216          0          0          8        296   ShutdownAni.obj
       390         76          0          4        575   ShutdownFlow.obj
         2          0          0          0         52   ShutdownSubLcd.obj
       160         14          0          0        128   SimCtrlApp.obj
         0          0          0          0          0   SimSelCui.obj
         0          0          0          0          0   SimSpace.obj
       846          0          0          6       1233   SmsAppCommonUI.obj
      1428          0          0          4       1457   SmsAppEditor.obj
      4978          0          4        142       3761   SmsAppMainUI.obj
      1320          0          0        128        933   SmsAppMisc.obj
       504          0          0          0        450   SmsAppMsg.obj
      3232          0          1        462       1895   SmsAppSendMsg.obj
      3642        452         32          8       2179   SmsAppSetting.obj
       168          0          0          0        185   SmsAppUM.obj
      1298          0          0          1        998   SmsAppUmSap.obj
      1524         34          0         22       1885   SmsAppUtil.obj
       660          0          0         16       1011   SmsGenericCui.obj
         0          0          0          0          0   SmsMainMenu.obj
      1386          0          0          6       1457   SmsSaveCui.obj
      8066          0          0        453       5485   SmsSenderCui.obj
        74          0          0          0        122   SmsUtilCui.obj
         0          0          0          0          0   Soundset.obj
       464          0          0         36        913   SsStructMgmt.obj
      3626          0          0          0       2572   SsUi.obj
         0          0          0          0          0   SsoCui.obj
         0          0          0          0          0   TTSSetting.obj
         0          0          0          0          0   ToDoListApp.obj
         0          0          0          0          0   ToneSelectorCui.obj
      1288          0          0         14        833   ToneSelectorCuiForSLIM.obj
     17396          0          0          0      12225   UCMUI.obj
         0          0          0          0          0   UDXHdlr.obj
         0          0          0          0          0   UDXMain.obj
         0          0          0          0          0   UDXScr.obj
       548          0          0          0        614   UMAdaptor.obj
      1858          0          0          0       1505   UMApperance.obj
      1162          0          0          0       1461   UMCentralCtrl.obj
      3802          0          0         32       4973   UMFsm.obj
      2266          0          2        604       2518   UMInterface.obj
       170        271          4        728        413   UMMain.obj
      8338          0          0          0       6086   UMScrHdlr.obj
       902          0          0          0       1334   UMUtility.obj
      1088          0          0          0        546   UcmEventHdlr.obj
         0          0          0          0          0   UcmInterfaceBT.obj
      5262          6          4        168       4316   UcmKernel.obj
         0          0          0          0          0   UcmKernelBT.obj
         0          0          0          0          0   UcmUha.obj
         0          0          0          0          0   UcmUhaCore.obj
         0          0          0          0          0   UcmUiBT.obj
         0          0          0          0          0   UcmVtCore.obj
      2324         24         16          0       1678   UseDetailCui.obj
      1506         28          8         36       1401   ViewSettingCommon.obj
      2038        108          4         20       1550   Voicemail.obj
         0          0          0          0          0   WorldClockCui.obj
      2990        164          0        160       1906   alarm.obj
       294          7          0        122       2161   alarmframework.obj
         0          0          0          0          0   apncontrollist.obj
        16          0          0          0         59   athandler.obj
         0          0          0          0          0   birthday.obj
      3328        462          4         89       1669   calculator.obj
      1432         46          4        124       1337   calendar.obj
        38          0          0          0        118   cphsprotocolhandlers.obj
         0          0          0          0          0   csp.obj
      2836        316          0        400       2553   dateandtime.obj
       684          0          0         16        663   datetime.obj
         0          0          0          0          0   dictionarymain.obj
         0          0          0          0          0   ecompass.obj
         2          0          0          0         52   extra.obj
      1918          0          4       3344       1493   filemgrcommon.obj
      9638        120          0          1       7691   filemgrcui.obj
      1754          0          0         22       1244   filemgrcuiadp.obj
      1280          0          4         29       1218   filemgrfsdata.obj
      3430          0          4         12       1851   filemgrgui.obj
      4082          0         32          0       3540   filemgrinstance.obj
     10426         24          4       1600       4542   filemgrmain.obj
      4006         24          4        224       2368   filemgrservice.obj
      1162         84          0        202       1684   filemgrservicehdlr.obj
       344        144          0          0        234   filemgrtable.obj
      1054          0          0          0       1044   filemgrutil.obj
       762         87          0          8        898   flightmode.obj
         0          0          0          0          0   generaldeviceinterface.obj
       220          0          0          0        472   gpioapp.obj
      2172          0          0        736       1972   idlenotificationmanager.obj
        44         56          0          0        222   idlenotificationmanagerconfig.obj
         0          0          0          0          0   idlerecentevent.obj
         0          0          0          0          0   infonum.obj
         0          0          0          0          0   lunarquery.obj
      3060          0          0         88       2688   mainmenu.obj
      2750          0          0         20       3317   messagesmiscell.obj
       138          0          0          0        181   mmi_phnset_dispchar.obj
         0          0          0          0          0   myfavorite.obj
         0          0          0          0          0   nitz.obj
       222          0          0          0        184   organizer.obj
       986          0          0          2       1131   phnsetgpio.obj
      3230          0          0         34       2812   phonebookApp.obj
         0          0          0          0          0   phonebookCallerRes.obj
      2538         40          0        124       2948   phonebookCore.obj
      3580         41          0         23       2470   phonebookEditor.obj
      3642          0          0       1235       2282   phonebookList.obj
       892          0          4         17        418   phonebookappmem.obj
      3404        228          4         20       3229   phonebookextranumber.obj
         8          0          0          0         59   phonebookmain.obj
       608          0          0          8        304   phonebooksetting.obj
      1504          4         44        196       1377   phonesetup.obj
       860          0         28          1       1019   restore.obj
         0          0          0          0          0   rightsmgr.obj
         0          0          0          0          0   rightsmgrgeninfo.obj
         0          0          0          0          0   rightsmgrlistro.obj
         0          0          0          0          0   rightsmgrsweep.obj
         0          0          0          0          0   rightsmgrui.obj
         0          0          0          0          0   rightsmgrutil.obj
         0          0          0          0          0   rightsmgrwhitelist.obj
       136          0          0          0        358   sat.obj
         0          0          0          0          0   scheduledpoweronoff.obj
        54          0          0          0        676   screensaver.obj
         0          0          0          0          0   searchwebbaidu.obj
         0          0          0          0          0   searchwebbaiduconfig.obj
         0          0          0          0          0   searchwebcommon.obj
         0          0          0          0          0   searchwebgoogleconfig.obj
       750          0          0          4        529   service.obj
       454          0          0        106        579   settingsrc.obj
      2516          0          0         60       1827   shortcuts.obj
       518         20          0         62        677   smsmomtguiinterface.obj
      1680          0          0          2       1329   smspshandler.obj
        16          0          0          4        156   soundeffect.obj
         0          0          0          0          0   todolist.obj
         0          0          0          0          0   todolistdb.obj
         0          0          0          0          0   todolistutil.obj
      1366          0          4        942       1017   ucminterface.obj
         0          0          0          0          0   vbookmark.obj
         0          0          0          0          0   vcalendar.obj
         0          0          0          0          0   vcard.obj
         0          0          0          0          0   vobjects.obj
      1554          0          0         56       1563   volumehandler.obj
      2940        122         12        618       2733   wallpaper.obj
       282          0          0         80        292   worldclock.obj
    299196       9124       1011      18317     248303   TOTAL

