
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       986         31          0        367        638   AT_utility.obj
      2946        172          0        876       2787   AlertScreen.obj
      7688         40          0         80       5588   AppMemMgrCore.obj
         0          0          0          0          0   AppMemMgrUT.obj
       318          0          0          0        284   CommonLang.obj
      3248          0          0       1772       2707   FSEditorCui.obj
      1350        916          8         17       1469   Gsm7BitNationalLang.obj
      7264        176        116       1703       9387   Imc.obj
     10442         24          1        100       6155   Imc_key.obj
         0          0          0          0          0   Imc_pen.obj
      5788        482        125       1312       6110   Imm.obj
         0          0          0          0          0   Imm_qwerty.obj
      9668          8          0       4796       2795   Imui.obj
     10358          0          0      19437       7519   InlineCui_Slim.obj
        82         68          0          0        288   LangErrorHandle.obj
       492        144          0          0        413   LangModule.obj
      7886          0          0       2144       5435   MenuCui.obj
      5572        231          1       4064       3614   Notification.obj
      1430          0          8          0       1332   Procedure.obj
     18268         52         12        916      13103   Scenario.obj
       140          0          0          5        423   SensorRotation.obj
         0          0          0          0          0   SubtitleFont.obj
         0          0          0          4          0   appmem.obj
      2024          0          0         12       1449   appmemmgr.obj
       160          0          0          0        387   ascii.obj
        10          0          0          0         59   bootupapp.obj
         0          0          0          0          0   catscreenbrowser.obj
     10652        468        284        946       8440   commonscreens.obj
         0          0          0          0          0   csbentryhandlers.obj
         0          0          0          0          0   csbframework.obj
         0          0          0          0          0   ctk.obj
         0          0          0          4          0   custnfbprogressimg.obj
        84          0          0          4        373   debuginit.obj
        96          0          0          4        234   event_flag.obj
      2340          0          1       4036       2329   event_handler.obj
      1160          0          0      11828       1516   events.obj
       222          0         40      11864        368   fix_size_mem.obj
      1554        768          0         32        735   gsm7bitdefaultalphabet.obj
      3742          0        144        152       2684   gui.obj
      1776          0          0          6       1115   gui_asyncdynamic_menus.obj
      1962          0          0         20       1808   gui_buttons.obj
       406          0          0          0        934   gui_bytestream.obj
      7332         64          0          4       2765   gui_calendar.obj
      3004         76          0          4       2021   gui_clock.obj
       248          0          0          0        401   gui_color_slider.obj
         0          0          0          0          0   gui_custom_menus.obj
       846          0          0          0        464   gui_dynamic_menus.obj
      2552          0          8        168       1889   gui_effect_oem.obj
        30          0          0          0         59   gui_ems.obj
         0          0          0          0          0   gui_ems_inputs.obj
     12174          0          4        720       6206   gui_fixed_menuitems.obj
      8288          0          4         16       4962   gui_fixed_menus.obj
         0          0          0          0          0   gui_font_oem.obj
       140          0          0          0         78   gui_font_size.obj
        26          0          0          0         59   gui_hardware_dependent.obj
      2556          0          0          8       2078   gui_horizontal_selector.obj
      6474         32          0          4       2466   gui_icon_bar.obj
      3440          0          0          0       1999   gui_image.obj
     15380        106         32        785      10083   gui_inputs.obj
      3310          0         12       4440       2454   gui_inputs_cache.obj
         0          0          0          0          0   gui_main_menu_oem.obj
         0          0          0          0          0   gui_menu_oem.obj
       902          0          1          4       1674   gui_menu_shortcut.obj
      8344       1150          0          0       2482   gui_multi_line_inputs.obj
      1050          0          0          4        762   gui_panel.obj
       736          0          0         24        911   gui_progress_bar.obj
      4266          0          1         24       7293   gui_scrollbars.obj
      1874          0          4         32        824   gui_scrollbars_oem.obj
      3164          0          0          1        613   gui_single_line_inputs.obj
      1166          0          0          0        769   gui_slide_bar.obj
         0          0          0          0          0   gui_spectrum.obj
       110          0          0       3107       1640   gui_sse_oem.obj
       476          0          0          4       1105   gui_status_icon.obj
       284          0          0         16       1339   gui_status_icon_bar.obj
      1772          0          0          0        539   gui_status_icon_bar_oem.obj
      1280          0          0         24       1959   gui_tab_bars.obj
      2368          0          0          0        922   gui_tab_bars_oem.obj
      1576          0          0          0       1034   gui_text_frame.obj
       518          0          0          0        985   gui_text_label.obj
      6594        900       1664         68       2644   gui_themes.obj
       564          0          0         12       1426   gui_title.obj
      1736          0          0          0       1035   gui_title_oem.obj
       136          0          0          8        378   gui_touch_feedback.obj
         2          0          0          0         52   gui_touch_feedback_oem.obj
      1130          0          0          4       1310   gui_video.obj
         0          0          0          0          0   gui_virtual_keyboard.obj
      1048          6          4          4        130   gui_wcss_inputs.obj
      1364          0          8          4       1120   gui_windows.obj
      8990          0         12        856       9587   history.obj
        44         22          0          0         59   inputs.obj
       450         35          8          0        619   key_tone.obj
      4242        165          0        996       4616   keybrd.obj
       604          0         19          0        448   lang_interface.obj
       766          0          0          0        522   mempoolcontainer.obj
        76          0          0          0        235   mmi_ap_dcm.obj
      1358          0          0         12       1078   mmi_cb_mgr.obj
      1024          0          0        344        687   mmi_clipboard.obj
      1348          0          0          0       1121   mmi_frm_app_launcher.obj
        82          0          0          0        134   mmi_frm_cache.obj
       152          0          0         16        363   mmi_frm_key_routing.obj
       210          0          0          0        181   mmi_frm_remutex.obj
