
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1354          0          0         88       1367   AlarmSrv.obj
      1658         11         24        144       1868   AppMgrSrv.obj
         0          0          0          0          0   BgSoundSrvUtils.obj
       254          0          0         12        551   BootupSrv.obj
        10          0          0          0        156   BootupSrvCancelVeri.obj
       504          0          0         16        645   BootupSrvProtocol.obj
       920          0          0         32        683   BootupSrvSecurity.obj
        16          0          0          0        208   BtAudioSrv.obj
         0          0          0          0          0   CBSMainSrv.obj
         0          0          0          0          0   CBSSettingSrv.obj
         0          0          0          0          0   CBSStorageSrv.obj
         0          0          0          0          0   CallLogSrvAtCmd.obj
      1174         16          0          0       1761   CallLogSrvComp.obj
      2946          4          0          0       2414   CallLogSrvIdxTbl.obj
      1500          0          0          0       1454   CallLogSrvIf.obj
      3046         48          0          0       1850   CallLogSrvJobHdlr.obj
       558          0          0          4       1054   CallLogSrvMain.obj
      1724          4          0          0        681   CallLogSrvPhbSync.obj
      1536         14          0          0       1144   CallLogSrvPsAdp.obj
      2268          0          0          0       1862   CallLogSrvSiTbl.obj
         0          0          0          0          0   CallLogSrvSimSync.obj
       184          0          0          0        348   CallLogSrvStore.obj
      1194         90          0       4332       1773   CallLogSrvUtils.obj
       850          0          0          0        860   CallSetSrvInterface.obj
      1282          0          4         32       1331   CallSetSrvStructMgmt.obj
       130         24          0          0        170   CallSetSrvUtil.obj
       322          0          0          0        771   CbmSrvInterface.obj
       386          4          0         84        304   CbmSrvMain.obj
       480          0          0          0        611   CbmSrvMsgHdlr.obj
         0          0          0          0          0   CbmSrvWlanPrefer.obj
       800          0          6          1       1168   CharBatSrv.obj
        94          0          0          0        891   CnmgrSrvMain.obj
       498          0          0         12        490   CphsSrv.obj
         0          0          0          0          0   DataLockSrv.obj
         0          0          0          0          0   DevProfileSrv.obj
         0          0          0          0          0   DmSelfRegister.obj
      4106         72          0          0       3607   DtcntSrvApi.obj
      9766         72          0        932       3594   DtcntSrvDb.obj
        54          0          0         12        111   DtcntSrvMain.obj
         0          0          0          0          0   EonsSrvMain.obj
      2574          0          0         84       1644   FileMgrSrvAsyncFS.obj
      1766        456          0        804       1295   FileMgrSrvCommon.obj
       904          0          0          0        834   FileMgrSrvFileInfo.obj
       352         56          0          4       1586   FileMgrSrvFileList.obj
      2562         56          0        620       1249   FileMgrSrvFolderFL.obj
       982          0          0          0        716   FileMgrSrvNotification.obj
      1046         26          0          0       1271   FileMgrSrvPath.obj
      1162         72          0        146       1396   FileMgrSrvStorage.obj
         0          0          0          0          0   FileMgrSrvTest.obj
         0          0          0          0          0   FileMgrSrvTestItems.obj
      1332          0          0         16       1431   FileMgrSrvTypes.obj
      1548          0          0          0       1295   GCallSrvCmEvent.obj
      4358          0          0          0       2615   GCallSrvCmInterface.obj
      2856          6          0          0       1973   GCallSrvPsEvent.obj
      2156          0          0          0       2072   GCallSrvPsInterface.obj
      3574          0          0       1472       2744   GCallSrvStructMgmt.obj
       738         26          0          0        981   GCallSrvUtil.obj
       578          0          0          2       1192   GeneralSettingSrv.obj
       976          0          0         20       1555   Gpiosrv.obj
       212          0          0         17        302   ImeiSrv.obj
         0          0          0          0          0   InetSrvMain.obj
         0          0          0          0          0   InetSrvRecv.obj
         0          0          0          0          0   InetSrvSend.obj
         0          0          0          0          0   InetSrvUtil.obj
      5438        536        268         40       1822   MASSrv.obj
      9494        164         44       3780       3794   MREAppMgrSrv.obj
        64          0          0          2        113   MREPushSrv.obj
         0          0          0          0          0   MREPushUISrv.obj
      3582         33          0        576       2890   MRESrv.obj
        56          0          0          0        832   MRESrvDownload.obj
         4          0          0          0         52   MediaCacheDaemon.obj
      1462         12          0         32       1695   ModeSwitchSrv.obj
      1308          0         44          8        755   NativeAppFactorySrv.obj
      2372        150          0        146       3338   NetSetSrv.obj
        52          0          0          0        118   NetSetSrvMsgQueue.obj
      1472          0          0        960        856   NotificationSettingSrv.obj
         4         40          4          0         52   NotificationSettingSrvTbl.obj
       834          0          0         36        618   NwInfoSrv.obj
      1204         66          0          0        904   NwInfoSrvAttach.obj
       538          0          0          3        441   NwInfoSrvSignal.obj
       584          0          0          0        433   NwNameSrvCphs.obj
      2090         48          0        552       1696   NwNameSrvMain.obj
       564          0          0          0        387   NwNameSrvSpdi.obj
       312          0          0          1        380   NwUsabSrv.obj
         0          0          0          0          0   PenCalibrationSrv.obj
       528          0          0          2        441   PhbAtSrv.obj
         0          0          0          0          0   PhbCloudSrv.obj
      4946          0          0          0       5582   PhbContactSrv.obj
      1380          0          0         32       1654   PhbDmgrSrv.obj
         8          0          0          0        104   PhbGroupSrv.obj
         0          0          0          0          0   PhbJavaHandlerSrv.obj
       360          0          4      20264        299   PhbMemSrv.obj
      5848          0          0        420       3747   PhbOPSrv.obj
      1336          0          0          0       1370   PhbOplibSrv.obj
         0          0          0          0          0   PhbPBAPSrv.obj
      3542          1          0       6552       2598   PhbPhoneSrv.obj
       646          0          0          0        630   PhbSdkSrv.obj
       544          0          0          6        702   PhbSettingSrv.obj
      3146          0          0         64       2498   PhbSimSrv.obj
      4092          0          1          2       4003   PhbSrv.obj
      7292          4          0       1980       4255   PhbSseSrv.obj
       732          0          0         18       1291   PhbStartupSrv.obj
         0          0          0          0          0   PhbTcardSrv.obj
      2140        478          0          0       2183   PhbUtilSrv.obj
      2734          0          0       7232       2566   PhbXmgntSrv.obj
        24          0          0          0        118   PnSrvJsonUtil.obj
      2522          0          0         28       1581   PnSrvMain.obj
      8406          0          0       2152       4713   ProfilesSrvMain.obj
       208          0          0          0        205   ProvisioningSrvMain.obj
      1352          0          0         20       1519   ReminderSrv.obj
       858          0          0        196       1178   ReminderSrvQueue.obj
       614          7          0          0        367   ReminderSrvUtil.obj
       144          0          0         12        177   RestoreSrv.obj
         0          0          0          0          0   RightsMgrSrv.obj
         6          0          0          0        104   SafeModeSrv.obj
      4008          0          0          1       1837   SatCommandSrv.obj
         0          0          0          0          0   SatIconSrv.obj
      5778        308          2        676       4964   SatSrv.obj
       864          0          0         16        457   SecSetSrvPhone.obj
        14          0          0          0        208   SensorSrv.obj
       464          0          0         20        422   ShutdownSrv.obj
      1118          0          0        244        687   SimAccessSrv.obj
      1852          0          1         41       1858   SimCtrlSrv.obj
       100          0          0          0        185   SimCtrlSrvAdp.obj
      2064          0          0         12       1206   SimCtrlSrvVeri.obj
         0          0          0          0          0   SmsAtHandlerSrv.obj
         0          0          0          0          0   SmsBackupRestoreSrv.obj
      3596          0          0          0       2037   SmsConverterSrv.obj
      1376         88          0        212       1019   SmsDispatchSrv.obj
      1836          0          2        784       1875   SmsEmsSrv.obj
      1588          0          0       1208       1260   SmsFolderListSrv.obj
        40          0          0          0         59   SmsInitSrv.obj
       588          0          0        172        440   SmsQueueSrv.obj
      3494          0          0       1664       1695   SmsReceiverSrv.obj
      2028          0          0        703       1658   SmsSenderSrv.obj
      4208          0          0        398       3151   SmsSettingSrv.obj
      1710          0          0        764       1521   SmsStatusReportSrv.obj
      5412          0          0      12624       4235   SmsStorageCoreSrv.obj
      9226          2          0          0       5794   SmsStorageInterfaceSrv.obj
      2494          0          0          6       1496   SmsStorageMsgSrv.obj
      1458         42          0         20        704   SmsStorageSimCustSrv.obj
         0          0          0          0          0   SmsStorageTcardSrv.obj
      3510          4          0       1781       4915   SmsUtilSrv.obj
         0          0          0          0          0   SoundEffectSrv.obj
       546          0          0          3        596   SoundRecSrv.obj
      3034          3          0          0       1786   SsSrvInterface.obj
      1438         80         92          0        657   SsSrvOperation.obj
       364          0          0         24        343   SsSrvStructMgmt.obj
       996         92          0          0       1343   SsSrvUtil.obj
         0          0          0          0          0   TcardMainsrv.obj
         0          0          0          0          0   TcardUtilSrv.obj
         0          0          0          0          0   Tcard_config.obj
        74          0          0          8        482   TetheringSrvApi.obj
         0          0          0          0          0   TodolistSrv.obj
      3648          0          0          0        455   UcmSrvAtHdlr.obj
       560          0          0          0        134   UcmSrvIntInterface.obj
      2718          0          0          0        772   UcmSrvInterface.obj
     13850          0          4       6052       4091   UcmSrvMain.obj
      2566          2          0          0       2310   UcmSrvPrmt.obj
      2962          0          0          0       2451   UcmSrvUtil.obj
      1472          0          0       4740       1152   UmSrvCacheMgr.obj
      1802          0         12          0       1735   UmSrvInterface.obj
      3388         64          4        152       1653   UmSrvMain.obj
       684          0          0         20        806   UmSrvMsgHandler.obj
         8          0          0          0        156   UpgradeSrvMain.obj
         0          0          0          0          0   UpgradeSrvUtil.obj
         0          0          0          0          0   UriAgentSrv.obj
         0          0          0          0          0   UriAgentSrvUtil.obj
         0          0          0          0          0   certManAgentSrv.obj
         0          0          0          0          0   datamgr.obj
      1312          0          4         27       1605   gpioBacklightSrv.obj
       560          0          0          3       1081   gpiospeechsrv.obj
       372          0          4         20        455   gpiosrvsetting.obj
      1822         60          0      22582       2858   hpnsPlatform.obj
         0          0          0          0          0   mdi_agps.obj
      6946          0          8        160       9277   mdi_audio.obj
         0          0          0          0          0   mdi_bitstream.obj
      3116          0          4        144       1330   mdi_common.obj
         0          0          0          0          0   mdi_gps.obj
         0          0          0          0          0   mdi_mtv.obj
         0          0          0          0          0   mdi_swflash.obj
         0          0          0          0          0   mdi_video.obj
         0          0          0          0          0   mdi_video_clip.obj
         0          0          0          0          0   mdi_video_rec.obj
         0       4680          0          0          0   plmnname.obj
      2168          0          4         16       2765   usbsrv.obj
         0          0          0          0          0   vCalSrv.obj
    269364       8021        540     109299     208915   TOTAL

