
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       470          0          0          4        518   DclH_kbd.obj
       260          0          0          0        290   DclS_kbd.obj
       390          0         56         68        794   Dcl_SeriPortDrv.obj
      1532         48         48          6       1591   accdet.obj
       854          0          1          2       1023   adc.obj
       404          0          4          8        486   adc_msg_handle.obj
       968         24        168          4        760   adcmeasure.obj
      1912          0          1       2100       1208   adcsche.obj
        36          0          0          1        676   alerter.obj
       672         20          0          8        542   auxmain.obj
         4          0          0          0        104   dbgprint.obj
       972          0          0        484        916   dcl_adc.obj
       404          0          0         11        459   dcl_aux.obj
      1652          0          8         41       2147   dcl_chr_det.obj
      1578          2        152          4       1031   dcl_common.obj
       608          0         48         16        425   dcl_eint.obj
       272          0          0          4        444   dcl_f32k_clk.obj
       514          0         28          0        441   dcl_gpio.obj
      1410          0          0        581       1295   dcl_gpt.obj
      1250          0          2         26       1308   dcl_gpt_hw.obj
        24          0          0          4        208   dcl_hts.obj
       672          0         28          0        643   dcl_i2c.obj
         0          0          0          0          0   dcl_irda.obj
        48          0          0          0        416   dcl_pfc.obj
       114          0          0          8        434   dcl_pmu.obj
      2334       1646          0         64       1666   dcl_pmu6261.obj
       304          0          0          0         61   dcl_pmu6261_init.obj
       352          0          0          0        369   dcl_pmu_common.obj
      1552          0          0         20        948   dcl_pw.obj
       572          0          0         24        578   dcl_pwm.obj
        48          0          0          0        416   dcl_pxs.obj
      1038          0          0        132        563   dcl_rtc.obj
        42          0          0          0        364   dcl_sts.obj
       674          0          0         48        701   dcl_wdt.obj
      1078          0          1          0        881   drv_comm.obj
       294          0          0        384        298   drv_hisr.obj
       570          0          0          0        659   f32k_clk.obj
      1116        104          0          2       1408   gpio.obj
      6480        415          2         32       1123   gpt_udvt_test.obj
         0          0          0          0          0   hif_legacy.obj
         0          0          0          0          0   hif_v1.obj
         0          0          0          0          0   hif_v2.obj
      1056          0          0        330        503   i2c.obj
         0          0          0          0          0   i2c_dual.obj
      5482          0          0        194        896   i2c_udvt_test.obj
         0          0          0          0          0   kbd_jogball.obj
      2498         20          1        106       1831   kbdmain.obj
        14          0          0          0        364   lpwr.obj
         0          0          0          0          0   motion_sensor.obj
         8          0          0          0        156   nli_arb.obj
         0          0          0          0          0   pfc.obj
      1076          0         68         30        913   pwm.obj
      4478          0          0         56       3552   rtc.obj
         0          0          0          0          0   rwg.obj
      2364          0          0         86       2092   spi.obj
      1876          0         28        108       1010   spi_hal.obj
      2304          0          4         65       1289   sw_keypad.obj
         0          0          0          0          0   touch_panel.obj
         0          0          0          0          0   touch_panel_main.obj
         0          0          0          0          0   ts_drv.obj
      8706         84        132        357       5726   uart.obj
      1204          0          8       2064         65   uart_handler.obj
      2892          0        372          8       1180   uart_vfifo.obj
       648          0          0          1        936   wdt.obj
     68080       2363       1160       7491      48707   TOTAL

