
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0       1176          0          0          0   sim_const.obj
       196         20          0          0        240   sim_create.obj
      9318          0          0          0       3356   sim_driver_interfaces.obj
     15360         80          0          0       5884   sim_handler.obj
       420          0          0       1000        256   sim_init.obj
       592          0          0          0         80   sim_main.obj
     25634         22          0          0       7156   sim_toolkit.obj
      1234          0          0          0        832   usim_fcp_parser.obj
      5656         70          0          0       1128   usim_handler.obj
     58410       1368          0       1000      18932   TOTAL

