
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      4216          0          0          0       1884   soc_abm.obj
      5210          0          0          0       3292   soc_api.obj
      2100          0          0          0       1092   soc_app.obj
      7236          0          0          0       2924   soc_common.obj
        84         20          0          0        116   soc_create.obj
      5160          0          0          0       2144   soc_dns.obj
         0          0          4          0          0   soc_feature.obj
       200          0          0          0        192   soc_flc.obj
       304          0          0       1168        192   soc_main.obj
         0          0          0          0          0   soc_sms.obj
      2732          0          0          0       1460   soc_tcpip.obj
       756          0          0          0        520   soc_timer.obj
         0          0          0          0          0   soc_ut.obj
     27998         20          4       1168      13816   TOTAL

