
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1176          0          0          0       1034   ADIE_Eint.obj
       758          4          0         16        985   ADIE_intrCtrl.obj
      2386          0          2        784       1674   Eint.obj
       224          0         48          1        728   FTL.obj
         0          0          0          0          0   FUNET.obj
         0          0          0          0          0   arm11_pmu_montr.obj
       976          0          0          0       1265   arm_unaligned.obj
       490          0          4          8       1748   armlibc_rt.obj
       720          0          0         32        707   armlibc_rt_heap.obj
       396         23         12         12       3446   armlibc_rt_io.obj
         0          0          0          0          0   boot_cert_pattern.obj
       784          0         20       4664        441   bootarm.obj
       204          0          0          0        118   br_GFH_file_info.obj
       194          0          0          0        192   br_GFH_parser.obj
      2726         60          0         32       2424   cache.obj
      9534        128         20       1180       4053   cbr.obj
       156          0          0       2052         65   cbr_util.obj
         2          0          0          0         52   code_decompression_hal.obj
         0          0          0          0         18   cp15.obj
       442          0          4         16        774   dcm.obj
        80          0          0          0         59   dcm_service.obj
       944        564         32      19538        759   dcmgr_pl.obj
      2910         24         36         32       1566   dma.obj
       246         12          0         24        453   emi.obj
        28          0          0          0         80   event_timer.obj
         4          0          0          4         52   excep_hdlr.obj
        26          0          0          0        364   fault.obj
        52         20          0          4        111   idle_task.obj
       196          0          0          0        126   info.obj
      1268         11         13        148       1562   init.obj
       630         20          0          0        458   init_comm.obj
       630          0          0        384        559   init_memory_stack.obj
       216          0          0          0        184   init_trc.obj
      1806         55          2        164       1625   intrCtrl.obj
       288          0          0          0        725   irq.obj
       594          0          2        760        685   isrentry.obj
        24        608          0          0         52   maui_GFH_body.obj
         0          0          0          0         18   misc.obj
         0          0          0          0          0   nfb_loader.obj
         2          0          0          0         52   pdn.obj
         0          0          0          0          0   pdnoldarch.obj
       228          0          0          0         92   pll.obj
      1412          0          0          0        381   regioninit_ads.obj
       136          0          0         16         63   sleep.obj
       104          0          0          0        353   stack.obj
         0          0          0          0          0   third_rom_res.obj
       172          0          0         16        278   uscounter.obj
         0         20          0          0          0   viva.obj
     33164       1549        195      29887      30381   TOTAL

