ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_GLOBAL_0	1	0	4	
STR_GLOBAL_1	2	1	4	
STR_GLOBAL_2	3	2	4	
STR_GLOBAL_3	4	3	4	
STR_GLOBAL_4	5	4	4	
STR_GLOBAL_5	6	5	4	
STR_GLOBAL_6	7	6	4	
STR_GLOBAL_7	8	7	4	
STR_GLOBAL_8	9	8	4	
STR_GLOBAL_9	10	9	4	
STR_GLOBAL_10	11	10	6	
STR_GLOBAL_LOGO	120	Logo	10	
STR_GLOBAL_NOT_SUPPORT_AT_PC_SIMULATOR	147	Not supported on PC simulator	60	
STR_ID_APP_MRE	4817	?	4	
STR_MRE_NETWORK_CMWAP_ONLY	4821	?	4	STR_ID_APP_MRE
STR_MRE_NETWORK_CMNET_ONLY	4822	?	4	STR_ID_APP_MRE
STR_MRE_NETWORK_WIFI	4827	?	4	STR_ID_APP_MRE
STR_ID_APP_MRE_BG	4904	?	4	STR_ID_APP_MRE
STR_MDI_AUDPLY	7708	?	4	STR_ID_APP_MRE
STR_MDI_AUD_INFO	7711	?	4	STR_ID_APP_MRE
STR_ID_MTE_PIN	10710	PIN	8	
STR_ID_EM_GLOBAL_PROCESSING	11877	Processing...	28	
STR_ID_EM_SIM_CARD_IS_NOT_AVAILABLE	11878	This SIM card is not available	62	
STR_ID_EM_WARNING	11879	Not allow or conflict!	46	
STR_ID_EM_SET_LSK	11880	Set	8	
STR_ID_EM_NOTICE_SUCCESS_REBOO	11881	Done.
Power off in 3 sec	50	
STR_ID_EM_GLOBAL_AUTO	11882	Auto	10	
STR_ID_EM_TRUE	11883	True	10	
STR_ID_EM_FALSE	11884	False	12	
STR_ID_EM_APP_NAME	11885	Engineering mode	34	
STR_ID_EM_NW_SETTING	11886	Network setting	32	
STR_ID_EM_NW_NETWORK_INFO	11887	Network info	26	
STR_ID_EM_NW_INFO_RR_CELL_SEL	11888	RR_CELL_SEL	24	
STR_ID_EM_NW_INFO_RR_CH_DSCR	11889	RR Ch Dscr	22	
STR_ID_EM_NW_INFO_RR_CTRL_CHAN	11890	RR ctrl chan	26	
STR_ID_EM_NW_INFO_RR_RACH_CTRL	11891	RR rach ctrl	26	
STR_ID_EM_NW_INFO_RR_LAI_INFO	11892	RR lai info	24	
STR_ID_EM_NW_INFO_RR_RADIO_LINK	11893	RR radio link	28	
STR_ID_EM_NW_INFO_RR_MEAS_REP	11894	RR meas rep	24	
STR_ID_EM_NW_INFO_CC_CHAN_INFO	11895	CC chan info	26	
STR_ID_EM_NW_INFO_CC_CALL_INFO	11896	CC call info	26	
STR_ID_EM_NW_INFO_CA_LIST_INFO	11897	CA list info	26	
STR_ID_EM_NW_INFO_PLMN_INFO	11898	PLMN info	20	
STR_ID_EM_NW_INFO_GPRS_INFO	11899	GPRS info	20	
STR_ID_EM_NW_INFO_SI2Q_MI_INFO	11900	Si2Q/Mi info	26	
STR_ID_EM_NW_INFO_TBF_STATUS	11901	TBF status	22	
STR_ID_EM_NW_INFO_BLOCK_INFO	11902	Block info	22	
STR_ID_EM_NW_BAND_SELECTION	11903	Band selection	30	
STR_ID_EM_BAND_SEL_ALL_3G_OFF	11904	Not allow all 3G band off	52	
STR_ID_EM_NW_BAND_SEL_2G	11905	2G band setting	32	
STR_ID_EM_NW_BAND_SEL_GSM850	11906	850 band	18	
STR_ID_EM_NW_BAND_SEL_EGSM900	11907	900 band	18	
STR_ID_EM_NW_BAND_SEL_DCS1800	11908	1800 band	20	
STR_ID_EM_NW_BAND_SEL_PCS1900	11909	1900 band	20	
STR_ID_EM_NW_BAND_SEL_850_1800	11910	850/1800	18	
STR_ID_EM_NW_BAND_SEL_900_1800	11911	900/1800	18	
STR_ID_EM_NW_BAND_SEL_850_1900	11912	850/1900	18	
STR_ID_EM_DEVICE	11913	Device	14	
STR_ID_EM_DEV_GPIO	11914	GPIO	10	
STR_ID_EM_DEV_GPIO_LIST_GPO_GPIO	11915	List GPO/GPIO	28	
STR_ID_EM_DEV_GPIO_EDIT_GPIO	11916	GPIO editor	24	
STR_ID_EM_DEV_GPIO_EDIT_GPO	11917	GPO editor	22	
STR_ID_EM_DEV_GPIO_DIRECTION	11918	Direction	20	
STR_ID_EM_DEV_GPIO_LEVEL	11919	Current level	28	
STR_ID_EM_DEV_GPIO_DIRECTION_OUT	11920	Out	8	
STR_ID_EM_DEV_GPIO_DIRECTION_IN	11921	In	6	
STR_ID_EM_DEV_MM_COLOR	11922	MM Color Adjust	32	
STR_ID_EM_DEV_SHARP	11923	Sharpness	20	
STR_ID_EM_DEV_CONTRAST	11924	Contrast	18	
STR_ID_EM_DEV_SATURATION	11925	Saturation	22	
STR_ID_EM_DEV_HW_LEVEL	11926	Set default level	36	
STR_ID_EM_DEV_HW_LEVEL_BATTERY	11927	Battery	16	
STR_ID_EM_DEV_PWM_SET_1	11928	Pwm1	10	
STR_ID_EM_DEV_PWM_SET_2	11929	Pwm2	10	
STR_ID_EM_DEV_PWM_SET_3	11930	Pwm3	10	
STR_ID_EM_DEV_LCD_SET_PARAM_1	11931	Set value	20	
STR_ID_EM_DEV_SET_UART	11932	Set UART	18	
STR_ID_EM_DEV_SET_UART_SETTING	11933	UART setting	26	
STR_ID_EM_DEV_SET_UART_TST_PS	11934	TST-PS config	28	
STR_ID_EM_DEV_SET_UART_TST_L1	11935	TST-L1 config	28	
STR_ID_EM_DEV_SET_UART_PS	11936	PS config	20	
STR_ID_EM_DEV_USB_PORT	11937	USB port	18	
STR_ID_EM_DEV_USB_PORT2	11938	USB port 2	22	
STR_ID_EM_DEV_UART_1	11939	UART 1	14	
STR_ID_EM_DEV_UART_2	11940	UART 2	14	
STR_ID_EM_DEV_UART_3	11941	UART 3	14	
STR_ID_EM_DEV_DCM_MODE	11942	DCM mode	18	
STR_ID_EM_DEV_BQB_MODE	11943	BQB mode	18	
STR_ID_EM_DEV_MEMORY_TEST	11944	Memory info	24	
STR_ID_EM_DEV_MEMORY_TEST_EMI_SETTING	11945	EMI register settings	44	
STR_ID_EM_DEV_MEMORY_TEST_CUSTOM_SETTING	11946	Custom settings	32	
STR_ID_EM_DEV_MEMORY_TEST_FLASH_INFO	11947	Flash physical info	40	
STR_ID_EM_DEV_PMU_REG_SET	11948	PMU register setting	42	
STR_ID_EM_DEV_PMU_REG_SET_WRITE	11949	Write	12	
STR_ID_EM_DEV_PMU_REG_SET_Addr	11950	Address(Hex)	26	
STR_ID_EM_DEV_PMU_REG_SET_VALUE	11951	Value(Hex)	22	
STR_ID_EM_DEV_PMU_REG_SET_HIGH_LOW	11952	High\low bit(in order)	46	
STR_ID_EM_AUDIO	11953	Audio	12	
STR_ID_EM_AUD_16_LELVEL_MAX_GAIN	11954	Max analog gain	32	
STR_ID_EM_AUD_16_LELVEL_STEP	11955	Step	10	
STR_ID_EM_AUD_SET_MODE	11956	Set mode	18	
STR_ID_EM_AUD_SET_VOLUME	11957	Set volume	22	
STR_ID_EM_AUD_NORMAL_MODE	11958	Normal mode	24	
STR_ID_EM_AUD_FIR	11959	Fir	8	
STR_ID_EM_AUD_SPEECH	11960	Speech	14	
STR_ID_EM_AUD_KEY_TONE	11961	Key tone	18	
STR_ID_EM_AUD_MELODY	11962	Melody	14	
